Date,Open,High,Low,Ltp,% Change,Qty,Turnover
3/20/2011,"1,200.00","1,190.00","1,160.00","1,170.00",0,853,"1,000,811.00"
3/24/2011,"1,162.00","1,178.00","1,150.00","1,153.00",0,356,"412,649.00"
3/25/2011,"1,153.00","1,174.00","1,145.00","1,174.00",0,702,"807,507.00"
3/27/2011,"1,174.00","1,160.00","1,120.00","1,147.00",0,"1,426.00","1,619,270.00"
3/28/2011,"1,147.00","1,150.00","1,110.00","1,132.00",0,352,"393,534.00"
3/29/2011,"1,132.00","1,120.00","1,050.00","1,097.00",0,"1,456.00","1,576,420.00"
3/30/2011,"1,097.00","1,076.00","1,030.00","1,040.00",0,"1,340.00","1,394,926.00"
3/31/2011,"1,040.00","1,109.00","1,020.00","1,082.00",0,"1,828.00","1,947,570.00"
4/4/2011,"1,082.00","1,099.00","1,064.00","1,099.00",0,"1,151.00","1,235,826.00"
4/5/2011,"1,099.00","1,100.00","1,079.00","1,100.00",0,115,"124,295.00"
4/6/2011,"1,100.00","1,122.00","1,093.00","1,122.00",0,248,"273,134.00"
4/7/2011,"1,122.00","1,115.00","1,078.00","1,111.00",0,640,"698,060.00"
4/10/2011,"1,111.00","1,115.00","1,071.00","1,115.00",0,"1,711.00","1,865,458.00"
4/11/2011,"1,115.00","1,112.00","1,070.00","1,112.00",0,536,"575,640.00"
4/13/2011,"1,112.00","1,218.00","1,100.00","1,218.00",0,389,"435,768.00"
4/17/2011,"1,218.00","1,194.00","1,098.00","1,098.00",0,481,"539,528.00"
4/18/2011,"1,098.00","1,086.00","1,055.00","1,086.00",0,760,"808,830.00"
4/19/2011,"1,086.00","1,066.00","1,057.00","1,066.00",0,"1,303.00","1,384,936.00"
4/20/2011,"1,066.00","1,075.00","1,060.00","1,063.00",0,"1,240.00","1,319,397.00"
4/21/2011,"1,063.00","1,075.00","1,062.00","1,075.00",0,451,"480,915.00"
4/25/2011,"1,075.00","1,078.00","1,045.00","1,078.00",0,381,"401,951.00"
4/27/2011,"1,078.00","1,081.00","1,055.00","1,081.00",0,751,"796,565.00"
4/28/2011,"1,081.00","1,062.00","1,046.00","1,046.00",0,"1,023.00","1,076,480.00"
5/2/2011,"1,046.00","1,055.00","1,040.00","1,040.00",0,754,"785,510.00"
5/3/2011,"1,040.00","1,045.00","1,010.00","1,045.00",0,783,"797,350.00"
5/4/2011,"1,045.00","1,039.00","1,010.00","1,019.00",0,596,"605,805.00"
5/5/2011,"1,019.00","1,039.00","1,030.00","1,030.00",0,126,"130,014.00"
5/8/2011,"1,030.00","1,040.00","1,030.00","1,040.00",0,445,"460,725.00"
5/9/2011,"1,040.00","1,045.00","1,040.00","1,040.00",0,172,"179,240.00"
